source,disease,level,location,age_group,horizon,model,spread,overprediction,underprediction,wis,c50,c95
agi,are,age,DE,00-04,2,baseline,10582.931818181818,1607.142857142857,3613.5519480519483,15803.626623376624,0.6818181818181818,1
agi,are,age,DE,00-04,2,KIT-Ensemble,10150.20756600132,3216.106448751253,4773.993001938015,18140.30701669059,0.7727272727272727,0.9545454545454546
agi,are,age,DE,00-04,2,KIT-hhh4,11252.954545454546,4453.811688311688,11088.551948051949,26795.318181818184,0.7272727272727273,0.8636363636363636
agi,are,age,DE,00-04,2,KIT-LightGBM,5226.477021867593,2772.7526669033446,4578.697128261542,12577.92681703248,0.5,0.9090909090909091
agi,are,age,DE,00-04,2,KIT-TSMixer,13971.191130681818,3493.3137337662333,2818.427922077922,20282.932786525973,0.8181818181818182,0.9545454545454546
agi,are,age,DE,00-04,3,baseline,10375.15422077922,1872.844155844156,3547.961038961039,15795.959415584415,0.6363636363636364,1
agi,are,age,DE,00-04,3,KIT-Ensemble,10511.381760726827,4012.2935898233977,6938.182364212896,21461.85771476312,0.6818181818181818,0.9090909090909091
agi,are,age,DE,00-04,3,KIT-hhh4,12154.577922077922,6773.051948051948,14357.454545454546,33285.08441558442,0.5909090909090909,0.7727272727272727
agi,are,age,DE,00-04,3,KIT-LightGBM,5723.864205881778,3399.966219483231,5251.73499953918,14375.565424904189,0.3181818181818182,0.9090909090909091
agi,are,age,DE,00-04,3,KIT-TSMixer,13655.70315422078,3435.3642207792204,4892.417792207792,21983.485167207793,0.7272727272727273,1
agi,are,age,DE,00-04,4,baseline,10183.11525974026,1725.9155844155844,2791.922077922078,14700.952922077922,0.7272727272727273,1
agi,are,age,DE,00-04,4,KIT-Ensemble,10679.293342224688,4700.669146638335,7067.269756348653,22447.23224521168,0.6818181818181818,0.9545454545454546
agi,are,age,DE,00-04,4,KIT-hhh4,12982.012987012988,7304.766233766234,13757.532467532468,34044.31168831169,0.5909090909090909,0.7727272727272727
agi,are,age,DE,00-04,4,KIT-LightGBM,5814.573458492247,4741.668404857886,5210.935029917315,15767.176893267448,0.36363636363636365,0.9545454545454546
agi,are,age,DE,00-04,4,KIT-TSMixer,13241.293581168831,4030.4938311688306,5539.966006493505,22811.75341883117,0.7272727272727273,0.9090909090909091
agi,are,age,DE,05-14,-3,KIT-EnsembleNowcast,213.01125725356061,427.31195845850493,274.7652221533884,915.0884378654539,0.22727272727272727,0.8636363636363636
agi,are,age,DE,05-14,-3,KIT-simple_nowcast,213.01125725356061,427.31195845850493,274.7652221533884,915.0884378654539,0.22727272727272727,0.8636363636363636
agi,are,age,DE,05-14,-2,KIT-EnsembleNowcast,516.1445273631083,762.6579890863923,708.0390631481607,1986.8415795976612,0.3181818181818182,0.7727272727272727
agi,are,age,DE,05-14,-2,KIT-simple_nowcast,516.1445273631083,762.6579890863923,708.0390631481607,1986.8415795976612,0.3181818181818182,0.7727272727272727
agi,are,age,DE,05-14,-1,KIT-EnsembleNowcast,1038.2246146030197,760.5744209563647,1425.0821659626931,3223.8812015220774,0.36363636363636365,0.9090909090909091
agi,are,age,DE,05-14,-1,KIT-simple_nowcast,1038.2246146030197,760.5744209563647,1425.0821659626931,3223.8812015220774,0.36363636363636365,0.9090909090909091
agi,are,age,DE,05-14,0,KIT-EnsembleNowcast,1582.4980117523232,505.6093039986691,4031.593753930224,6119.701069681216,0.2727272727272727,0.7727272727272727
agi,are,age,DE,05-14,0,KIT-simple_nowcast,1582.4980117523232,505.6093039986691,4031.593753930224,6119.701069681216,0.2727272727272727,0.7727272727272727
agi,are,age,DE,05-14,1,baseline,10374.978896103896,0,23651.772727272728,34026.75162337662,0.4090909090909091,0.9090909090909091
agi,are,age,DE,05-14,1,KIT-Ensemble,10565.377595996877,428.33829987018623,9177.056574387183,20170.772470254247,0.6818181818181818,0.9545454545454546
agi,are,age,DE,05-14,1,KIT-hhh4,12473.116883116883,2090.87012987013,8649.110389610389,23213.097402597403,0.7727272727272727,0.9545454545454546
agi,are,age,DE,05-14,1,KIT-LightGBM,6532.5000282503715,891.0866280361814,11906.996189826043,19330.582846112597,0.4090909090909091,0.8636363636363636
agi,are,age,DE,05-14,1,KIT-TSMixer,12690.515876623378,251.82954545454544,13833.665,26776.010422077925,0.5909090909090909,1
agi,are,age,DE,05-14,2,baseline,10622.732792207793,229.24025974025975,23219.376623376622,34071.34967532467,0.4090909090909091,0.9090909090909091
agi,are,age,DE,05-14,2,KIT-Ensemble,11174.837998851328,2751.6169409473036,14749.263349802262,28675.718289600893,0.5909090909090909,0.8636363636363636
agi,are,age,DE,05-14,2,KIT-hhh4,14203.441558441558,7671.428571428572,16538.259740259742,38413.12987012987,0.6363636363636364,0.8181818181818182
agi,are,age,DE,05-14,2,KIT-LightGBM,6887.464274151384,1998.9169249579372,18717.463434635487,27603.844633744808,0.22727272727272727,0.9090909090909091
agi,are,age,DE,05-14,2,KIT-TSMixer,12433.60816396104,1790.757337662338,17822.38334415584,32046.74884577922,0.4090909090909091,0.9545454545454546
agi,are,age,DE,05-14,3,baseline,10554.475324675324,261.0194805194805,22371.62987012987,33187.124675324674,0.45454545454545453,0.9090909090909091
agi,are,age,DE,05-14,3,KIT-Ensemble,11701.2856650517,3775.3290356052767,19722.474327018444,35199.08902767542,0.5454545454545454,0.8181818181818182
agi,are,age,DE,05-14,3,KIT-hhh4,15809.318181818182,12144.636363636364,22285.084415584417,50239.03896103896,0.5454545454545454,0.7727272727272727
agi,are,age,DE,05-14,3,KIT-LightGBM,7173.343236226528,2162.5049144868585,24942.2780116227,34278.126162336084,0.36363636363636365,0.7727272727272727
agi,are,age,DE,05-14,3,KIT-TSMixer,12121.195577110391,1790.2136363636364,21882.18025974026,35793.589473214284,0.45454545454545453,0.9090909090909091
agi,are,age,DE,05-14,4,baseline,10443.507142857143,336.37012987012986,20355.24025974026,31135.11753246753,0.45454545454545453,0.9090909090909091
agi,are,age,DE,05-14,4,KIT-Ensemble,12145.249613761203,4564.661018451548,20453.225571293835,37163.13620350658,0.6363636363636364,0.8181818181818182
agi,are,age,DE,05-14,4,KIT-hhh4,17302.987012987014,14214.90909090909,22792.909090909092,54310.805194805194,0.5,0.7727272727272727
agi,are,age,DE,05-14,4,KIT-LightGBM,7431.875113199197,2617.6277845623276,24053.812958331106,34103.31585609263,0.45454545454545453,0.8181818181818182
agi,are,age,DE,05-14,4,KIT-TSMixer,11700.886715097402,2427.7631818181817,22649.531623376624,36778.18152029221,0.4090909090909091,0.9545454545454546
agi,are,age,DE,15-34,-3,KIT-EnsembleNowcast,417.2890024001674,117.23660048967125,389.58078525186227,924.1063881417009,0.5454545454545454,0.9090909090909091
agi,are,age,DE,15-34,-3,KIT-simple_nowcast,417.2890024001674,117.23660048967125,389.58078525186227,924.1063881417009,0.5454545454545454,0.9090909090909091
agi,are,age,DE,15-34,-2,KIT-EnsembleNowcast,1170.044024975078,655.011363899242,1274.8049041572156,3099.8602930315355,0.5,0.9090909090909091
agi,are,age,DE,15-34,-2,KIT-simple_nowcast,1170.044024975078,655.011363899242,1274.8049041572156,3099.8602930315355,0.5,0.9090909090909091
agi,are,age,DE,15-34,-1,KIT-EnsembleNowcast,2191.9755036229476,936.6843282254157,2662.977813348776,5791.637645197139,0.36363636363636365,0.9090909090909091
agi,are,age,DE,15-34,-1,KIT-simple_nowcast,2191.9755036229476,936.6843282254157,2662.977813348776,5791.637645197139,0.36363636363636365,0.9090909090909091
agi,are,age,DE,15-34,0,KIT-EnsembleNowcast,3597.6430229748153,1764.181953503141,3963.4911219949,9325.316098472857,0.4090909090909091,0.9090909090909091
agi,are,age,DE,15-34,0,KIT-simple_nowcast,3597.6430229748153,1764.181953503141,3963.4911219949,9325.316098472857,0.4090909090909091,0.9090909090909091
agi,are,age,DE,15-34,1,baseline,18871.74707792208,0,37498.2987012987,56370.04577922078,0.2727272727272727,1
agi,are,age,DE,15-34,1,KIT-Ensemble,18951.372833284968,1433.8951459737345,8168.8413546908305,28554.10933394953,0.7272727272727273,0.9545454545454546
agi,are,age,DE,15-34,1,KIT-hhh4,20762.564935064936,5622.38961038961,9034.915584415585,35419.87012987013,0.7272727272727273,0.9545454545454546
agi,are,age,DE,15-34,1,KIT-LightGBM,10937.994668686068,3845.3879571473976,11557.436473805532,26340.819099638997,0.45454545454545453,0.9090909090909091
agi,are,age,DE,15-34,1,KIT-TSMixer,25153.558896103896,158.2620129870128,13979.930974025976,39291.751883116885,0.6818181818181818,1
agi,are,age,DE,15-34,2,baseline,19268.030844155845,1165.9805194805194,34471.97402597403,54905.98538961039,0.2727272727272727,1
agi,are,age,DE,15-34,2,KIT-Ensemble,20627.645664560434,8947.791257159919,9681.613536818462,39257.05045853882,0.7272727272727273,0.9545454545454546
agi,are,age,DE,15-34,2,KIT-hhh4,24585.422077922078,18652.220779220777,10929.097402597403,54166.74025974026,0.5,0.9090909090909091
agi,are,age,DE,15-34,2,KIT-LightGBM,12653.6372509865,9777.454183841577,14561.452086917492,36992.54352174557,0.22727272727272727,0.9090909090909091
agi,are,age,DE,15-34,2,KIT-TSMixer,24643.877664772728,5668.3210389610385,14758.152922077923,45070.35162581169,0.5909090909090909,0.9545454545454546
agi,are,age,DE,15-34,3,baseline,19489.279545454545,1212.9025974025974,32091.12987012987,52793.312012987015,0.3181818181818182,1
agi,are,age,DE,15-34,3,KIT-Ensemble,22017.99767362333,10502.661327517762,14113.872492333958,46634.53149347505,0.6363636363636364,0.9090909090909091
agi,are,age,DE,15-34,3,KIT-hhh4,28047.077922077922,25258.422077922078,16004.09090909091,69309.59090909091,0.45454545454545453,0.8636363636363636
agi,are,age,DE,15-34,3,KIT-LightGBM,13986.533437266091,12341.460673205353,21770.10679106934,48098.10090154078,0.18181818181818182,0.8636363636363636
agi,are,age,DE,15-34,3,KIT-TSMixer,24020.381661525975,4600.127110389611,17039.591103896106,45660.09987581169,0.5909090909090909,0.9090909090909091
agi,are,age,DE,15-34,4,baseline,19341.518831168833,1212.9025974025974,31326.564935064936,51880.986363636366,0.3181818181818182,1
agi,are,age,DE,15-34,4,KIT-Ensemble,22783.7825914028,10986.736381506884,18461.29373873968,52231.81271164937,0.6363636363636364,0.9090909090909091
agi,are,age,DE,15-34,4,KIT-hhh4,31226.396103896106,25660.96103896104,19635.746753246753,76523.1038961039,0.45454545454545453,0.9090909090909091
agi,are,age,DE,15-34,4,KIT-LightGBM,14007.713680052553,11473.550901215405,28856.984443959904,54338.249025227866,0.3181818181818182,0.8181818181818182
agi,are,age,DE,15-34,4,KIT-TSMixer,23117.237990259742,7157.770357142857,24021.780876623376,54296.789224025975,0.4090909090909091,0.9090909090909091
agi,are,age,DE,35-59,-3,KIT-EnsembleNowcast,553.7610499715173,189.25577547714673,384.0077257283838,1127.024551177048,0.5454545454545454,1
agi,are,age,DE,35-59,-3,KIT-simple_nowcast,553.7610499715173,189.25577547714673,384.0077257283838,1127.024551177048,0.5454545454545454,1
agi,are,age,DE,35-59,-2,KIT-EnsembleNowcast,1349.9007245477821,779.032821899972,1596.1870784669532,3725.120624914707,0.5,0.9090909090909091
agi,are,age,DE,35-59,-2,KIT-simple_nowcast,1349.9007245477821,779.032821899972,1596.1870784669532,3725.120624914707,0.5,0.9090909090909091
agi,are,age,DE,35-59,-1,KIT-EnsembleNowcast,2514.697791585063,1065.803101954228,3590.9661897233864,7171.467083262677,0.36363636363636365,0.8181818181818182
agi,are,age,DE,35-59,-1,KIT-simple_nowcast,2514.697791585063,1065.803101954228,3590.9661897233864,7171.467083262677,0.36363636363636365,0.8181818181818182
agi,are,age,DE,35-59,0,KIT-EnsembleNowcast,4011.153208694738,2412.5543281779205,3261.7738588229777,9685.481395695637,0.45454545454545453,0.9545454545454546
agi,are,age,DE,35-59,0,KIT-simple_nowcast,4011.153208694738,2412.5543281779205,3261.7738588229777,9685.481395695637,0.45454545454545453,0.9545454545454546
agi,are,age,DE,35-59,1,baseline,26329.97402597403,0,42872.91558441558,69202.88961038961,0.2727272727272727,1
agi,are,age,DE,35-59,1,KIT-Ensemble,23926.782104208905,2527.5010715559583,7777.448739202037,34231.7319149669,0.7727272727272727,1
agi,are,age,DE,35-59,1,KIT-hhh4,24462.37012987013,7681.38961038961,10964.188311688313,43107.94805194806,0.7272727272727273,0.9545454545454546
agi,are,age,DE,35-59,1,KIT-LightGBM,15086.45510321113,9223.721853639267,7926.782974484536,32236.95993133493,0.4090909090909091,0.9090909090909091
agi,are,age,DE,35-59,1,KIT-TSMixer,32231.521079545455,514.9090909090917,14971.160194805196,47717.59036525974,0.7272727272727273,1
agi,are,age,DE,35-59,2,baseline,26818.209740259743,1536.5584415584415,39202.11688311688,67556.88506493506,0.2727272727272727,1
agi,are,age,DE,35-59,2,KIT-Ensemble,26099.14400237442,11896.134717376699,10428.977843336748,48424.25656308787,0.6818181818181818,0.9545454545454546
agi,are,age,DE,35-59,2,KIT-hhh4,29284.09090909091,23631.727272727272,14605.454545454546,67521.27272727274,0.45454545454545453,0.9090909090909091
agi,are,age,DE,35-59,2,KIT-LightGBM,17563.700705986896,14772.524262748811,11818.435751692576,44154.660720428285,0.3181818181818182,0.9090909090909091
agi,are,age,DE,35-59,2,KIT-TSMixer,31449.640392045458,6734.265746753247,17641.91883116883,55825.824969967536,0.6363636363636364,0.9545454545454546
agi,are,age,DE,35-59,3,baseline,27125.763636363637,1536.5584415584415,35677.792207792205,64340.114285714284,0.3181818181818182,1
agi,are,age,DE,35-59,3,KIT-Ensemble,28320.07549049421,14569.702407639978,17746.391976963325,60636.16987509751,0.6363636363636364,0.9090909090909091
agi,are,age,DE,35-59,3,KIT-hhh4,33676.23376623377,33729.357142857145,22818.844155844155,90224.43506493507,0.2727272727272727,0.9090909090909091
agi,are,age,DE,35-59,3,KIT-LightGBM,20765.289748268344,19279.980169187038,20042.315946663937,60087.58586411932,0.2727272727272727,0.9090909090909091
agi,are,age,DE,35-59,3,KIT-TSMixer,30518.70295698052,5696.686201298701,22690.026623376623,58905.41578165584,0.6363636363636364,0.9090909090909091
agi,are,age,DE,35-59,4,baseline,26894.159090909092,1536.5584415584415,33749.98051948052,62180.69805194806,0.36363636363636365,1
agi,are,age,DE,35-59,4,KIT-Ensemble,29276.538019975327,15300.511713763728,24114.775800239175,68691.82553397823,0.5454545454545454,0.9090909090909091
agi,are,age,DE,35-59,4,KIT-hhh4,37745.29220779221,38184.045454545456,27879.409090909092,103808.74675324676,0.2727272727272727,0.9090909090909091
agi,are,age,DE,35-59,4,KIT-LightGBM,20734.040895153248,18421.14274739444,30018.257655528505,69173.4412980762,0.3181818181818182,0.8636363636363636
agi,are,age,DE,35-59,4,KIT-TSMixer,29350.28095698052,8664.135746753247,31310.786266233765,69325.20296996753,0.45454545454545453,0.9090909090909091
agi,are,age,DE,60+,-3,KIT-EnsembleNowcast,212.60056037994826,166.41502611373022,97.29426825761058,476.3098547512891,0.5909090909090909,0.9545454545454546
agi,are,age,DE,60+,-3,KIT-simple_nowcast,212.60056037994826,166.41502611373022,97.29426825761058,476.3098547512891,0.5909090909090909,0.9545454545454546
agi,are,age,DE,60+,-2,KIT-EnsembleNowcast,536.4085853366846,612.3429315823205,409.95199008338585,1558.703507002391,0.4090909090909091,0.8636363636363636
agi,are,age,DE,60+,-2,KIT-simple_nowcast,536.4085853366846,612.3429315823205,409.95199008338585,1558.703507002391,0.4090909090909091,0.8636363636363636
agi,are,age,DE,60+,-1,KIT-EnsembleNowcast,989.2269345956482,873.4824948248951,1143.9342889211525,3006.6437183416956,0.3181818181818182,0.9090909090909091
agi,are,age,DE,60+,-1,KIT-simple_nowcast,989.2269345956482,873.4824948248951,1143.9342889211525,3006.6437183416956,0.3181818181818182,0.9090909090909091
agi,are,age,DE,60+,0,KIT-EnsembleNowcast,2305.9310714773414,1888.1861012983006,1091.1047571668532,5285.221929942495,0.5909090909090909,0.9545454545454546
agi,are,age,DE,60+,0,KIT-simple_nowcast,2305.9310714773414,1888.1861012983006,1091.1047571668532,5285.221929942495,0.5909090909090909,0.9545454545454546
agi,are,age,DE,60+,1,baseline,8892.414610389611,0,12620.155844155845,21512.570454545454,0.22727272727272727,0.9090909090909091
agi,are,age,DE,60+,1,KIT-Ensemble,9323.9723989901,964.5495173205036,3030.807827185685,13319.329743496286,0.8181818181818182,0.9545454545454546
agi,are,age,DE,60+,1,KIT-hhh4,11151.623376623376,1776.8506493506493,2089.779220779221,15018.253246753247,0.9090909090909091,1
agi,are,age,DE,60+,1,KIT-LightGBM,5831.015231872893,2531.175187238444,3602.9597046987215,11965.150123810059,0.5,0.9545454545454546
agi,are,age,DE,60+,1,KIT-TSMixer,10989.278588474026,1188.9571428571428,7042.419577922077,19220.655309253245,0.6363636363636364,0.9545454545454546
agi,are,age,DE,60+,2,baseline,8941.268506493507,538.6428571428571,11181.935064935065,20661.84642857143,0.22727272727272727,0.9090909090909091
agi,are,age,DE,60+,2,KIT-Ensemble,9806.63198442167,2502.7949016414377,1821.497456511464,14130.924342574572,0.8181818181818182,1
agi,are,age,DE,60+,2,KIT-hhh4,12542.532467532468,5243.694805194805,1119.0064935064936,18905.233766233767,0.9090909090909091,0.9545454545454546
agi,are,age,DE,60+,2,KIT-LightGBM,6191.674095310464,2792.463371093849,3889.195017567495,12873.332483971808,0.45454545454545453,0.9545454545454546
agi,are,age,DE,60+,2,KIT-TSMixer,10685.689390422078,1994.4025974025974,5845.094805194806,18525.186793019482,0.6363636363636364,1
agi,are,age,DE,60+,3,baseline,9103.113636363636,538.6428571428571,9769.01948051948,19410.775974025975,0.2727272727272727,0.9545454545454546
agi,are,age,DE,60+,3,KIT-Ensemble,10381.800750579894,2378.0223167992576,1608.3728779323335,14368.195945311485,0.8636363636363636,1
agi,are,age,DE,60+,3,KIT-hhh4,13873.181818181818,6415.961038961039,1011.4545454545455,21300.597402597403,0.7727272727272727,0.9545454545454546
agi,are,age,DE,60+,3,KIT-LightGBM,6885.0533775513695,2964.3920487835185,4214.1185118229905,14063.563938157879,0.5454545454545454,1
agi,are,age,DE,60+,3,KIT-TSMixer,10387.167056006494,954.5900649350649,4330.639155844156,15672.396276785716,0.6363636363636364,1
agi,are,age,DE,60+,4,baseline,9157.078571428572,538.6428571428571,10558.376623376624,20254.09805194805,0.3181818181818182,0.9545454545454546
agi,are,age,DE,60+,4,KIT-Ensemble,10837.452026866966,2539.1276252171215,3244.803281385041,16621.38293346913,0.8181818181818182,1
agi,are,age,DE,60+,4,KIT-hhh4,15140.649350649352,7640.422077922078,1794.4155844155844,24575.487012987014,0.6363636363636364,0.9545454545454546
agi,are,age,DE,60+,4,KIT-LightGBM,7376.068367126869,2874.7553356793205,6603.718551637402,16854.542254443593,0.5454545454545454,1
agi,are,age,DE,60+,4,KIT-TSMixer,9995.638362824677,1473.4430519480518,8289.290194805195,19758.371609577924,0.5909090909090909,0.9545454545454546
agi,are,national,DE,00+,-3,KIT-EnsembleNowcast,1441.8112561619803,832.273512255573,1255.8438622207937,3529.928630638347,0.45454545454545453,0.9545454545454546
agi,are,national,DE,00+,-3,KIT-simple_nowcast,1441.8112561619803,832.273512255573,1255.8438622207937,3529.928630638347,0.45454545454545453,0.9545454545454546
agi,are,national,DE,00+,-2,KIT-EnsembleNowcast,3705.008972502831,3247.966815154527,4212.510121610664,11165.485909268022,0.45454545454545453,0.8636363636363636
agi,are,national,DE,00+,-2,KIT-simple_nowcast,3705.008972502831,3247.966815154527,4212.510121610664,11165.485909268022,0.45454545454545453,0.8636363636363636
agi,are,national,DE,00+,-1,KIT-EnsembleNowcast,6735.351578085754,3152.906787295855,9663.286821850195,19551.545187231804,0.36363636363636365,0.9090909090909091
agi,are,national,DE,00+,-1,KIT-simple_nowcast,6735.351578085754,3152.906787295855,9663.286821850195,19551.545187231804,0.36363636363636365,0.9090909090909091
agi,are,national,DE,00+,0,KIT-EnsembleNowcast,11849.420562480605,6444.873713935779,14457.121032814122,32751.415309230506,0.3181818181818182,0.9545454545454546
agi,are,national,DE,00+,0,KIT-simple_nowcast,11849.420562480605,6444.873713935779,14457.121032814122,32751.415309230506,0.3181818181818182,0.9545454545454546
agi,are,national,DE,00+,1,baseline,70384.73474025974,0,108761.03246753247,179145.7672077922,0.3181818181818182,1
agi,are,national,DE,00+,1,KIT-Ensemble,60550.25362025929,5775.302231443627,31338.251522158193,97663.8073738611,0.7727272727272727,1
agi,are,national,DE,00+,1,KIT-hhh4,56390.09740259741,14890.493506493507,41148.41558441558,112429.0064935065,0.6363636363636364,0.9545454545454546
agi,are,national,DE,00+,1,KIT-LightGBM,40218.30571886181,13504.172195192574,27829.350407976424,81551.82832203081,0.6363636363636364,0.8636363636363636
agi,are,national,DE,00+,1,KIT-TSMixer,84377.66882711039,1158.1399350649351,38940.82012987013,124476.62889204547,0.7727272727272727,1
agi,are,national,DE,00+,1,MPIDS-PS_embedding,61214.94253246753,15315.837662337663,65619.94155844155,142150.72175324676,0.5909090909090909,0.8181818181818182
agi,are,national,DE,00+,2,baseline,71643.60616883117,4514.012987012987,101246.61688311689,177404.23603896104,0.3181818181818182,1
agi,are,national,DE,00+,2,KIT-Ensemble,64872.4350065239,34463.277157970675,45322.6273238871,144658.33948838167,0.6818181818181818,0.9090909090909091
agi,are,national,DE,00+,2,KIT-hhh4,66869.09090909091,54774.48701298701,57050.72727272727,178694.3051948052,0.5454545454545454,0.8636363636363636
agi,are,national,DE,00+,2,KIT-LightGBM,45401.52703096572,30347.8475684275,44726.118860946204,120475.49346033942,0.4090909090909091,0.9090909090909091
agi,are,national,DE,00+,2,KIT-TSMixer,82706.98929383117,19115.957564935063,49330.565129870134,151153.51198863637,0.5454545454545454,0.9545454545454546
agi,are,national,DE,00+,2,MPIDS-PS_embedding,64512.1327922078,57165.753246753244,86431.48701298701,208109.37305194806,0.5454545454545454,0.8636363636363636
agi,are,national,DE,00+,3,baseline,72177.02532467533,4664.688311688312,93539.04545454546,170380.7590909091,0.36363636363636365,1
agi,are,national,DE,00+,3,KIT-Ensemble,68620.01322574478,31484.906643494793,65155.57458983929,165260.49445907888,0.6363636363636364,0.8636363636363636
agi,are,national,DE,00+,3,KIT-hhh4,75898.92857142858,72851.2987012987,82135.96753246753,230886.1948051948,0.5,0.7727272727272727
agi,are,national,DE,00+,3,KIT-LightGBM,51106.848618888245,41892.26873611194,70248.64544070672,163247.7627957069,0.36363636363636365,0.8636363636363636
agi,are,national,DE,00+,3,KIT-TSMixer,80490.65850487014,14503.577792207792,64337.93272727273,159332.16902435065,0.6363636363636364,0.9090909090909091
agi,are,national,DE,00+,3,MPIDS-PS_embedding,66983.61720779221,46406.344155844155,114882.12337662338,228272.08474025974,0.5,0.7272727272727273
agi,are,national,DE,00+,4,baseline,71464.48571428572,4759.850649350649,88541.33116883117,164765.66753246755,0.36363636363636365,1
agi,are,national,DE,00+,4,KIT-Ensemble,72612.056699025,32239.210248214036,75439.67506384724,180290.94201108627,0.6363636363636364,0.9090909090909091
agi,are,national,DE,00+,4,KIT-hhh4,83823.24675324676,74166.59090909091,92243.20779220779,250233.04545454547,0.45454545454545453,0.8181818181818182
agi,are,national,DE,00+,4,KIT-LightGBM,52192.433972236344,38882.652924707174,89278.94508088948,180354.031977833,0.3181818181818182,0.8636363636363636
agi,are,national,DE,00+,4,KIT-TSMixer,77454.25581087662,23591.247272727273,85985.01623376623,187030.51931737014,0.4090909090909091,0.9090909090909091
agi,are,national,DE,00+,4,MPIDS-PS_embedding,76978.29025974026,33190.57792207792,105008.06493506493,215176.93311688313,0.5,0.8181818181818182
agi,are,states,DE-BB-BE,00+,-3,KIT-EnsembleNowcast,10879.772994868563,12005.03697631304,5252.601509800286,28137.41148098189,0.5454545454545454,0.7272727272727273
agi,are,states,DE-BB-BE,00+,-3,KIT-simple_nowcast,10879.772994868563,12005.03697631304,5252.601509800286,28137.41148098189,0.5454545454545454,0.7272727272727273
agi,are,states,DE-BB-BE,00+,-2,KIT-EnsembleNowcast,18254.728842834855,10192.445252783249,26325.296334317798,54772.4704299359,0.6818181818181818,0.8636363636363636
agi,are,states,DE-BB-BE,00+,-2,KIT-simple_nowcast,18254.728842834855,10192.445252783249,26325.296334317798,54772.4704299359,0.6818181818181818,0.8636363636363636
agi,are,states,DE-BB-BE,00+,-1,KIT-EnsembleNowcast,24780.272515160468,13205.463296719285,39873.76134447477,77859.49715635453,0.5,0.7727272727272727
agi,are,states,DE-BB-BE,00+,-1,KIT-simple_nowcast,24780.272515160468,13205.463296719285,39873.76134447477,77859.49715635453,0.5,0.7727272727272727
agi,are,states,DE-BB-BE,00+,0,KIT-EnsembleNowcast,42163.89068577666,34664.80005220028,37687.88702534018,114516.57776331711,0.45454545454545453,0.9090909090909091
agi,are,states,DE-BB-BE,00+,0,KIT-simple_nowcast,42163.89068577666,34664.80005220028,37687.88702534018,114516.57776331711,0.45454545454545453,0.9090909090909091
agi,are,states,DE-BB-BE,00+,1,KIT-Ensemble,133133.73376623378,45809.88311688312,88298.33116883117,267241.94805194804,0.5,0.9545454545454546
agi,are,states,DE-BB-BE,00+,1,KIT-hhh4,133133.73376623378,45809.88311688312,88298.33116883117,267241.94805194804,0.5,0.9545454545454546
agi,are,states,DE-BB-BE,00+,2,KIT-Ensemble,158688.63636363638,117019.8961038961,91355.28571428571,367063.8181818182,0.5,0.9090909090909091
agi,are,states,DE-BB-BE,00+,2,KIT-hhh4,158688.63636363638,117019.8961038961,91355.28571428571,367063.8181818182,0.5,0.9090909090909091
agi,are,states,DE-BB-BE,00+,3,KIT-Ensemble,180641.03896103895,146802.13636363635,120730.92857142858,448174.1038961039,0.45454545454545453,0.9090909090909091
agi,are,states,DE-BB-BE,00+,3,KIT-hhh4,180641.03896103895,146802.13636363635,120730.92857142858,448174.1038961039,0.45454545454545453,0.9090909090909091
